Total Nacional;Municipios;Indicadores;Sexo;Periodo;Total
Total Nacional;Cáceres;Tasa de desempleo (Porcentaje);Hombres;2015;""
Total Nacional;Cáceres;Tasa de desempleo (Porcentaje);Hombres;2014;""
Total Nacional;Cáceres;Tasa de desempleo (Porcentaje);Hombres;2013;""
Total Nacional;Cáceres;Tasa de desempleo (Porcentaje);Hombres;2012;""
Total Nacional;Cáceres;Tasa de desempleo (Porcentaje);Hombres;2011;""
Total Nacional;Cáceres;Tasa de desempleo (Porcentaje);Hombres;2010;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2023;85,43
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2022;84,24
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2021;81,76
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2020;80,63
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2019;80,97
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2018;79,88
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2017;78,49
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2016;78,91
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2015;75,42
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2014;74,96
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2013;71,25
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2012;72,18
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2011;81,68
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Total;2010;81,45
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2023;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2022;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2021;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2020;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2019;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2018;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2017;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2016;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2015;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2014;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2013;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2012;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2011;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Mujeres;2010;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2023;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2022;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2021;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2020;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2019;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2018;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2017;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2016;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2015;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2014;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2013;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2012;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2011;""
Total Nacional;Cáceres;Proporción de ocupados entre 20-64 años sobre la población activa (Porcentaje);Hombres;2010;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2023;57,64
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2022;57,56
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2021;57,39
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2020;57
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2019;58,22
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2018;57,62
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2017;57,24
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2016;58,52
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2015;59,05
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2014;59,43
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2013;60,05
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2012;59,16
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2011;57,6
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Total;2010;56,66
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2023;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2022;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2021;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2020;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2019;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2018;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2017;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2016;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2015;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2014;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2013;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2012;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2011;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Mujeres;2010;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2023;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2022;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2021;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2020;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2019;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2018;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2017;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2016;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2015;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2014;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2013;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2012;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2011;""
Total Nacional;Cáceres;Tasa de actividad (Porcentaje);Hombres;2010;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2023;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2022;86,67
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2021;85,88
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2020;85,57
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2019;86,03
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2018;85,01
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2017;85,78
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2016;84,31
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2015;84,44
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2014;84,66
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2013;83,35
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2012;82,59
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2011;83,56
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Total;2010;80,26
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2023;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2022;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2021;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2020;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2019;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2018;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2017;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2016;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2015;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2014;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2013;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2012;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2011;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Mujeres;2010;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2023;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2022;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2021;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2020;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2019;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2018;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2017;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2016;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2015;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2014;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2013;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2012;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2011;""
Total Nacional;Cáceres;Proporción de empleo en servicios (NACE Rev.2 G-U) (Porcentaje);Hombres;2010;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2023;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2022;3,68
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2021;3,78
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2020;4,22
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2019;4,21
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2018;5,14
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2017;4,58
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2016;4,94
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2015;5,42
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2014;5,59
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2013;5,89
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2012;5,42
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2011;5,34
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Total;2010;6,03
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2023;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2022;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2021;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2020;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2019;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2018;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2017;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2016;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2015;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2014;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2013;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2012;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2011;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Mujeres;2010;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2023;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2022;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2021;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2020;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2019;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2018;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2017;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2016;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2015;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2014;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2013;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2012;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2011;""
Total Nacional;Cáceres;Proporción de empleo en industria (NACE Rev.2 B-E) (Porcentaje);Hombres;2010;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2023;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2022;33.650,94
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2021;32.394,96
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2020;31.455,04
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2019;31.293,68
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2018;30.251,22
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2017;29.355,53
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2016;29.044,96
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2015;28.540,01
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2014;26.835,18
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2013;26.821,98
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2012;27.516,14
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2011;29.182,61
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Total;2010;..
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2023;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2022;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2021;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2020;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2019;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2018;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2017;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2016;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2015;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2014;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2013;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2012;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2011;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Mujeres;2010;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2023;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2022;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2021;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2020;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2019;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2018;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2017;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2016;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2015;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2014;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2013;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2012;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2011;""
Total Nacional;Cáceres;Renta neta media anual de los hogares (Euros);Hombres;2010;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2023;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2022;13.997,29
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2021;13.313,68
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2020;12.814,99
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2019;12.642,08
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2018;12.121,24
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2017;11.648,66
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2016;11.469,42
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2015;11.212,24
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2014;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2013;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2012;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2011;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Total;2010;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2023;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2022;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2021;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2020;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2019;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2018;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2017;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2016;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2015;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2014;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2013;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2012;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2011;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Mujeres;2010;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2023;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2022;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2021;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2020;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2019;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2018;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2017;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2016;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2015;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2014;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2013;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2012;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2011;""
Total Nacional;Cáceres;Renta neta media anual por habitante (Euros);Hombres;2010;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2023;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2022;20.487,32
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2021;19.577,11
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2020;18.890,51
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2019;18.729,13
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2018;18.023,4
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2017;17.385,42
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2016;17.141,05
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2015;16.786,57
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2014;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2013;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2012;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2011;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Total;2010;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2023;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2022;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2021;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2020;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2019;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2018;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2017;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2016;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2015;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2014;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2013;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2012;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2011;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Mujeres;2010;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Hombres;2023;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Hombres;2022;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Hombres;2021;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Hombres;2020;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Hombres;2019;""
Total Nacional;Cáceres;Renta neta media anual por unidad de consumo (Euros);Hombres;2018;""
